HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR,Latitude,Longitude
176TH ST / 12TH AVE,Fatal/Injury Collision,1,2011,49.1479339,-122.7565725
102A AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.184818,-122.7345358
GATEWAY DR / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1628918,-122.801562
152ND ST / 40TH AVE,Fatal/Injury Collision,1,2011,49.0312159,-122.8392356
103A AVE / SCOTT RD,Fatal/Injury Collision,1,2011,49.1190816,-122.8454849
177B ST / 56TH AVE,Fatal/Injury Collision,1,2011,49.1770442,-122.8513795
98TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1553729,-122.8569743
36TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.1644636,-122.827753
64TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.1644636,-122.827753
104TH AVE / 160TH ST,Fatal/Injury Collision,1,2011,49.1628298,-122.8389264
120TH ST / 72ND AVE,Fatal/Injury Collision,1,2011,49.1369483,-122.7180002
130TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.1270635,-122.7017535
152A ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.0456622,-122.7353805
126TH ST / 68TH AVE,Fatal/Injury Collision,1,2011,49.1164891,-122.7597892
128TH ST / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1520486,-122.8791038
24TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.1339581,-122.8679659
56TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.2080797,-122.8708779
SPENSER DR / 136B ST,Fatal/Injury Collision,1,2011,49.1410308,-122.8678486
98TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.20265939999999,-122.8508652
OLD YALE RD / 132ND ST,Fatal/Injury Collision,1,2011,49.1225351,-122.8717378
SCOTT RD / 103A AVE,Fatal/Injury Collision,1,2011,49.10453949999999,-122.6911013
160TH ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1988098,-122.8299265
180TH ST / 60TH AVE,Fatal/Injury Collision,1,2011,49.1044302,-122.801094
166TH ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.16210239999999,-122.8902853
128TH ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1626678,-122.8485131
32ND AVE ONRP / HWY 99,Fatal/Injury Collision,1,2011,49.1868789,-122.8092654
120TH ST / 82ND AVE,Fatal/Injury Collision,1,2011,49.1044302,-122.801094
160TH ST / 40TH AVE,Fatal/Injury Collision,1,2011,49.16259429999999,-122.7348772
188TH ST / 56TH AVE,Fatal/Injury Collision,1,2011,49.18109889999999,-122.6904538
128TH ST / 80TH AVE,Fatal/Injury Collision,1,2011,49.10440939999999,-122.8098593
