HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR,LATITUDE,LONGTITUDE
152ND ST / 40TH AVE,Fatal/Injury Collision,1,2011,49.0746443,-122.8012227
128TH ST / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.2064008,-122.8674434
102ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1878257,-122.8455894
150TH ST / 88TH AVE,Fatal/Injury Collision,1,2011,49.162898,-122.80694
156TH ST / 102ND AVE,Fatal/Injury Collision,1,2011,49.187987,-122.789778
153RD ST / 105TH AVE,Fatal/Injury Collision,1,2011,49.1933269,-122.798102
57TH AVE / PANORAMA DR,Fatal/Injury Collision,1,2011,49.1057252,-122.8059629
CRESCENT RD / 140TH ST,Fatal/Injury Collision,1,2011,49.0673318,-122.8342737
KING GEORGE BLVD / COLEBROOK RD,Fatal/Injury Collision,1,2011,49.097278,-122.8176528
88TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1627081,-122.8458917
56TH AVE / 180TH ST,Fatal/Injury Collision,1,2011,49.1041422,-122.7239003
ELEVATOR RD / RIVER RD,Fatal/Injury Collision,1,2011,49.183859,-122.903026
88TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.1628918,-122.801562
96TH AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.1771275,-122.8679718
156TH ST / 104TH AVE,Fatal/Injury Collision,1,2011,49.19162,-122.7897491
68TH AVE / 126TH ST,Fatal/Injury Collision,1,2011,49.126618,-122.8734017
96TH AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.1771275,-122.8679718
80TH AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.1481747,-122.8680774
102ND AVE / 133A ST,Fatal/Injury Collision,1,2011,49.1880573,-122.8520463
153RD ST / 24TH AVE,Fatal/Injury Collision,1,2011,49.0455623,-122.7984129
120TH ST / 101ST AVE,Fatal/Injury Collision,1,2011,49.18645550000001,-122.890074
132ND ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1771471,-122.8568228
144TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.11917159999999,-122.8232353
99TH AVE / 120TH ST,Fatal/Injury Collision,1,2011,49.182619,-122.8903376
80TH AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.1481747,-122.8680774
HYLAND RD / 140TH ST,Fatal/Injury Collision,1,2011,49.12530400000001,-122.834374
KING GEORGE BLVD / 76TH AVE,Fatal/Injury Collision,1,2011,49.1408717,-122.845624
88TH AVE / FRASER HWY,Fatal/Injury Collision,1,2011,49.1630721,-122.7938233
TRANS CANADA HWY / 176TH ST ONRP,Fatal/Injury Collision,1,2011,49.1044302,-122.801094
17TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.0329331,-122.8012662
140TH ST / 102ND AVE,Fatal/Injury Collision,1,2011,49.1877459,-122.8341631
126TH ST / 90TH AVE,Fatal/Injury Collision,1,2011,49.1664366,-122.8736259
196TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.119093,-122.679964
57TH AVE / 177B ST,Fatal/Injury Collision,1,2011,49.1060116,-122.7303051
68TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1262505,-122.8457025
96TH AVE / 168TH ST,Fatal/Injury Collision,1,2011,49.1770965,-122.7566399
